source,target,dataset
aparoni ebankari yoajiro iriniro,el joven que mató a su madre,cuentos
ora peratantsi,la pereza,cuentos
eiro aretakainpitsi kmentsa.,no conducen a buen fin.,cuentos
"peerani okanta oka kenketsarentsi. isaikajeitini shirampari, ijina, itomi, irishinto, ari okantakotaka.","antiguamente, existía una familia constituida por el papa, la mamá y un hijo.",cuentos
"yoka shirampari ijati ikobintsata inchatoshiki, osheki yamini pashimirintsi iro-bakajeityari itomipee.",un día el padre se fue a mitayar y trajo bastante carne de monte para que su hijo coma.,cuentos
ari okantaka otsonkajiri obatsatsite ari okantiri ijina pajitatyari iroisa:,"después de unos días la carne se acabó y su esposa que se llamaba luisa, le dijo:",cuentos
―pamenajante poshinirintsi.,―vete a buscar otro poco de carne.,cuentos
ari ikanti ojime:,él contestó:,cuentos
"―jee, ari.","―sí, iré.",cuentos
ari okantabetari otomi:,la esposa pidió a su hijo:,cuentos
―pijate poijataiteri piri tekatsi itsipatanakeari.,"―hijo, acompaña a tu padre, no hay nadie que lo haga.",cuentos
"ari yoka itomi te inkoyeji, irinti peranti. ari okantabetari irini-ro:","el hijo no quiso porque era perezoso. su madre le insistía, pre-guntándole:",cuentos
―pijate poijataiteri piri ¿paita piperotantari?,―¿por qué eres perezoso?,cuentos
ari ikantanake iriri aitanaji isaikanajeta iperatakarika irisaika-najeta:,"el padre al ver la negativa de su hijo, dijo:",cuentos
―nojataiteta nainti.,"―mejor, voy solo.",cuentos
ari ikenanaji ijataji shabiniji. ari okantiri otomi:,"se fue, ya era tarde. la madre dijo a su hijo:",cuentos
―piperaitakani paita kaari poijatantakari piri. meekaya eiro piñajiri piri jate poijateri.,―ahora no vas a ver a tu padre porque no le has seguido.,cuentos
"ari ikantaja iriri ipiaja tekatsi iramake, isokiapaji mantsiatsara. ikantajapairo:","cuando el padre regresó, no trajo nada, vino muy triste. le dijo a su esposa:",cuentos
"―poishenaro pamari noyatsinkareni, paitarinka oyenane.","―atizaa la candela porque siento frío, no sé qué tengo.",cuentos
ari imaperotanaka ojime osabetakari tee omatakotajeri katsiketi yoanaka ikamake itsabiatanaji.,"entonces empeoró. su esposa lo cuidaba, pero no se curaba con las medicinas; finalmente murió y fue enterrado.",cuentos
ari aretapakari yoamane torek.,entonces ocurrió la muerte de su padre.,cuentos
ari okantanakeri iriniro:,la viuda riñó a su hijo:,cuentos
―jerobe nokantabetimpi poijateri piri.,"―ya ves, por no acompañar a tu padre.",cuentos
"meeka piñakeri ikamantakari piri eiro itimaji. ari oka ijina oashiretanaka, aiketi otijanakeri pankotsiki. ari okantiri otomi:","muy triste la esposa enterró a su difunto esposo en la casa dónde habitaban, y dijo a su hijo:",cuentos
