source,target,dataset
"jatian miabicho ika, ¿ikon?","entonces estabas solo, ¿verdad?",flashcards
enra min yoiyai keskaribi shinanai,concuerdo contigo.,flashcards
tomra jabicho ibake,tom estaba solo.,flashcards
non aka akinra yoikanke,fuimos culpados.,flashcards
moa joi riki,ella está caminando.,flashcards
eara kai,me voy.,flashcards
ea yoiwe jawe mia kenai,dime cuál quieres.,flashcards
nonra ninkaxonai,lo comprendemos.,flashcards
akasi riki ea,estoy interesado.,flashcards
yamera oi bewanke,anoche llovió.,flashcards
tomra ishton yoyo ikai,tom habla rápido.,flashcards
¿maton meratania?,¿encontraron algo?,flashcards
¿jainmacharin ea?,¿estoy equivocada?,flashcards
eara jaskati yoiyaiya iki,tengo información.,flashcards
bakishra en benai,lo averiguaré mañana.,flashcards
enra akenti atipanyamake.,yo no puedo ayudar.,flashcards
axeamisra ea ikasa iki,solía ser profesor.,flashcards
¿min moka jaweki xeai?,¿bebes alcohol?,flashcards
jara polakonin yoyo ikai,ella habla polaco.,flashcards
enra teneti atipanyamake.,no lo puedo aguantar.,flashcards
maryra jabicho joibake,mary vino sola.,flashcards
jaskara jisara en ake,hice algo similar.,flashcards
jan tasati naman awe,baja el martillo.,flashcards
tomra onisa iwanke,tom estaba triste.,flashcards
noara ochoma raenanaiki,somos amigos cercanos.,flashcards
¿min onanaki iwana?,¿le conocíais?,flashcards
jakon iwe,estate contento.,flashcards
tee inkemisanteroji.,no hizo caso.,cuentos
"jakoinra tee, tom","buen trabajo, tom.",flashcards
¿mia yoyo itania?,¿hablaste siquiera?,flashcards
westiora wishara en yoyo ake,leo una carta.,flashcards
¿jawekeskara mia kenai?,¿cómo los quieres?,flashcards
―meeka pipiatsatakena.,―ahora me vienes a pedir.,cuentos
¡miara jakoma iki!,¡eres idiota!,flashcards
¿jawerano mato teetai?,¿dónde trabajaban?,flashcards
kikin raroshaman ibake,eran muy felices.,flashcards
¿minki jawe jato yoiya?,¿has dicho algo?,flashcards
enra chopin teati atipanke,puedo tocar chopin.,flashcards
¿jawetianki mia joi kai?,¿cuándo volverás?,flashcards
¿jaweki ja pekao winota?,¿qué pasó después?,flashcards
¿mia wisha bemakana en ointi atipana?,¿puedo tomar su mensaje?,flashcards
nonra jan kenai,lo necesitamos.,flashcards
jato koiranai,soy detective.,flashcards
tomanra jawe oinyamai iwanke,tom no veía nada.,flashcards
noara manoke,nos perdimos.,flashcards
¿tsoaki japonesnin yoyo ikai,¿alguien habla japonés?,flashcards
¿mia jaki yoyo ikasai?,¿quieres hablar al respecto?,flashcards
kikin onainrabo,son increíbles.,flashcards
enra onana ike min akai,sabía que podrías hacerlo.,flashcards
yokawe jawetianki joai,pregúntale cuándo volverá.,flashcards
¿mia tom betan teekasai?,¿quieres trabajar con tom?,flashcards
yanka riki,es inútil.,flashcards
nokon ken riki australia,amo australia.,flashcards
nonra chequebo jen akai,aceptamos cheques.,flashcards
enra onanyamake jawekeskaakinki akai ixon,no sé qué haremos.,flashcards
¿moa pota?,¿ya votó?,flashcards
jakoinra jainoa joibo onantira ea kenai,necesito un buen diccionario.,flashcards
nato jakon awe,arregla esto.,flashcards
tomasninra ninkatai,tomás entiende.,flashcards
jakomacha riki ea,estoy herido.,flashcards
kikin metsaira,estás muy elegante.,flashcards
¿jaweki rama nete winota?,¿qué pasó aquí hoy?,flashcards
enra jakon akai,lo arreglaré.,flashcards
¿ea winoti mia kenai?,¿quieres que pase?,flashcards
¿tomanki niwe jikiai kepenti ja?,¿debería abrir las ventanas?,flashcards
jatibira jakon iki,ambas están bien.,flashcards
¿minki oinkashorai?,¿tanto deseas verla?,flashcards
chero ipeokeri ishaninkatariri tisonipaye.,"y el tercero se convirtió en chero, parecido a un gallinazo.",cuentos
kikinshaman isini riki mia,estás gravemente enfermo.,flashcards
ora amabetakari oyantire antyarosante.,la sangre salió en abundancia.,cuentos
jakoinrara ike,está de buen humor.,flashcards
minra ea chibanti jake,debes seguirme.,flashcards
jaskara riki ea,soy inmune.,flashcards
¿mia ishtonshoko ointi atipana?,¿puedo verte un momento?,flashcards
ininrin mia,hueles bien.,flashcards
ari okantaka otsonkajiri obatsatsite ari okantiri ijina pajitatyari iroisa:,"después de unos días la carne se acabó y su esposa que se llamaba luisa, le dijo:",cuentos
bakish joribakanwe,vuelvan mañana.,flashcards
jawekeskara ibirai,no sé la causa.,flashcards
ea tsibanreswe,tan solo sígueme.,flashcards
jawebira winotamapari iki,no pasó nada todavía.,flashcards
ikon riki,es sin embargo cierto.,flashcards
¿jawetianki joai?,¿cuándo vendrá?,flashcards
nonra mia noike,te amamos.,flashcards
jabaonra maxo retewanke,ellos cazaban zorros.,flashcards
mato onankasira ike tom,tom quería conocerles.,flashcards
¿min jain netetibi kai?,¿vas seguido allí?,flashcards
tomra raroshaman ikai,tom estará encantado.,flashcards
jabera en jawe ati atipanyamake,no puedo con ella.,flashcards
tosira jimi jokonke,tosí sangre.,flashcards
eara ransakasai,quiero bailar.,flashcards
tom winwe,mira a tom.,flashcards
tetriski tsinirin,está jugando tetris.,flashcards
jawekopira ibirai,no sé por qué.,flashcards
¿tsoaki joa?+,¿vino alguien?,flashcards
noara kenai akinkanti,vamos a necesitar refugio.,flashcards
jara joibake,ella vino.,flashcards
enra onanke,la conozco.,flashcards
tomra jainmacha ibake,tom gruñó.,flashcards
moa yoiyara iti jake,debería habéroslo dicho antes.,flashcards
jakoinra mia,pareces contento.,flashcards
matsira ea kenai,necesito hielo.,flashcards
aisati itashitiro.,otra vez se acabó.,cuentos
janra en akinti yokawanke,él me pidió ayuda.,flashcards
¿jaweki yoyo ikirin mia?,¿de qué estás hablando?,flashcards
ponteti yoyo iwe,vaya al grano.,flashcards
"westiora sere meniwe, ¿min meniti atipana?","danos un minuto, ¿podrías?",flashcards
shipiriti ipoñaaka tsonkirika.,shipiriti se encontró con el picaflor.,cuentos
enra mia ninkatai,te oigo.,flashcards
eara jan sikati kenai,necesito pintura.,flashcards
metsa riki mia,eres bellísima.,flashcards
eara timananyamakasai,odio pelear.,flashcards
metsara iwanke,eran maravillosos.,flashcards
¿mia francesnin yoyo ikai?,¿hablás francés?,flashcards
"aparoni kitaiteri atiri ijati ikenabeti ari meka ikantanaka itonkanake tonkariki, ari isaikapai ikemantakari tsikonti itsekakoti tsirompe: ton, ton, ton. ari ikemisantaperotiri ikemantakari yapitajiro arimeka ikanti:","un día un hombre subió a un cerro para montear. se detuvo a descansar y escuchó al carpintero que cortaba un árbol “ton, ton, ton”. el hombre al escuchar los golpes dijo:",cuentos
noara akanai,nos atacan.,flashcards
jakoinra joni,sos un buen tipo.,flashcards
¿mia ranx ikai?,¿usted ronca?,flashcards
ponteti yoyo ikanwe,hablen claramente.,flashcards
enra onanti atipanyamake,no puedo descubrirlo.,flashcards
minra ichaira koriki keyoai,estás gastando demasiado dinero.,flashcards
tomra nato yamekiri nokowanke,tom llegó esta mañana.,flashcards
en yoibanon,lo retó.,flashcards
eara nonoti atipanke,apenas puedo nadar.,flashcards
westiora tenedora ea kenai,quisiera un tenedor.,flashcards
rateta riki ea,estoy asombrada.,flashcards
¡ebe yoyo iwe!,¡habla conmigo!,flashcards
¿eaki onankana?,¿me conocen?,flashcards
bakishra matsiai,nevará mañana.,flashcards
jaweki yoikana,algo surgió.,flashcards
jabo ea meniwe,deme esos.,flashcards
ninkatimara iwanke,no estaba escuchando.,flashcards
"¿jawekibo ponteirin mia, tom?","¿estás meditando, tom?",flashcards
en onanara chorish ikai ike,sabía que sería duro.,flashcards
¿tsonki akina?,¿quien ayudó?,flashcards
