source,target,dataset
jaskarabo jato yoikin senenhataanan tekíkaini jerusalénhain jesús kaa iki,dicho esto jesús pasó adelante y emprendió la subida hacia jerusalén,religioso
jatíbi ja diossen joi meran wishakanabora non jaskarainxon onannon ixon akanabo iki noaribi moa koshiakin shinantaanan masábo meetibi shinan namanyamakin ja wishakan yoiaibores ikonhataanan bebonbires noa iki kati jawékinin manatabo ikanti kopí,todas esas escrituras proféticas se escribieron para enseñanza nuestra de modo que perseverando y teniendo el consuelo de las escrituras no nos falte la esperanza,religioso
jaskáakin mato bokana jawerakimein en jato yoiti iki ixon maton masá shinantima iki diossenbi itan jawen shinanmanbikayara jaskati yoyo iti joibo mato menitiki,cuando sean arrestados y los en treguen a los tribunales no se pre ocupen por lo que van a decir sino digan lo que se les inspire en ese momento porque no serán ustedes los que hablarán sino el espíritu santo,religioso
jaskáakin yoia wenitax chankata iki,el se levantó y permaneció de pie,religioso
jatianra ja ainbo manaon beokainxon ja yoná jesussen notsina iki jaskáatianbi ja ainbaon moa yoná jenea iki jatianbi wenixon ja ainbaon jato jawékiamaa iki icha isinaibo jesussen benxoa,jesús se inclinó hacia ella dio una orden a la fiebre y ésta desapareció ella se levantó al instante y se puso a atenderlos,religioso
rama jatíxonbi onankanwe israel jonibo,sepa entonces con seguridad toda la gente de israel que dios ha hecho señor y cristo a este jesús a quien ustedes crucificaron,religioso
ja netebaonribi efesoain westíora judío joni nokota iki jawen jane iká iki apolos alejandría jemameax pikota ja iká iki kikinhakin joi yoiti onan itan kikinbiresakin diossen kirika meran iká joibo onanna,un judío llamado apolo natural de alejandría había llegado a efeso era un orador elocuente y muy entendido en las escrituras,religioso
ja maton jakina rebichi xateaxes kishpinti ikenra ja kriston aká jawékibo moa jawemabi iti iki,si ustedes se hacen circuncidar cristo ya no les servirá de nada,religioso
jatian jonibaon amaara aká iki akin non ati ikaxbira noa rakéribiai jatíxonbiora já profeta onankana iketian iki ikana iki,y si decimos que era cosa de hombres cuidado con el pueblo pues todos consideran a juan como un profeta,religioso
jainxon jayá winóti kirika jato yokata iki jaskatax damaskoain jain tsinkíkanai xobonko kaxon ja joi akai jonibo itan ainbobo jerusalénhain boxon jato presoanoxon,y le pidió poderes escritos para las sinagogas de damasco pues quería detener a cuantos seguidores del camino encontrara hombres y mujeres y llevarlos presos a jerusalén,religioso
ikaxbi jabora ikana iki jaton jointi chorishabo jaskara kopíra ramakamanbi ja moatian esébo yoyo axonbi onanyamareskanai ja jan bepóti chopa keskaraton jaton shinanbo bepoa keskábopari ixon jara kristo ikonhaketianpari jato keyoxonti iki,con todo los israelitas se volvieron ciegos el mismo velo les oculta el sentido de la antigua alianza hasta el día de hoy y no descubren que con cristo ya no tiene valor,religioso
jatian ja tsinkíti xobo meran iká iki westíora joni yoshin naikia jaskara ikax ja joni neskati koshin saí ika iki,se hallaba en la sinagoga un hombre endemoniado y empezó a gritar,religioso
ikaxbi ja nokon mekayao itan ja nokon mexkao mato yakámatira en mato imati jawékima iki,pero el sentarse a mi derecha o a mi izquierda no me corresponde a mí el concederlo eso ha sido preparado para otros,religioso
iitira wetsa neten ja westíora pacha rabé chonka joi akaibo tsinkíkana bebon nixon pedron jato yoia iki,uno de aquellos días pedro tomó la palabra en medio de los discípulos había allí como ciento veinte personas y les dijo,religioso
ja kristo meranra icha shinanti onan itan ja jaskáaxon jatíbi onanti shinanbo jake,en él están escondidas todas las riquezas de la sabiduría y del entendimiento,religioso
