source,target,dataset
¿matoki wishabo texea?,¿le sobran letras?,educativo
kenawe ainbo bakebo itan benbo bakebo chosko tsinki akanti,invita a las niñas y a los niños a formar grupos de cuatro,educativo
moa wetsa baritian,en el año anterior,educativo
shinanwe itan yoiwe jawekeska axonmein min jaska axon toponti shinanbo pikoti iki.,razona y argumenta generando ideas matemáticas,educativo
shinan awe benbo bakebo itan ainbo bakebo betan jawekopiki min jaskara shinanbo akai ixon,establece con los niños y las niñas el propósito de los mensajes que van a escribir,educativo
jawen onanabo jawekiainxon itanribi jawen yoyo akainxonboribi,a partir de sus saberes previos y de alguna fuente de información escrita,educativo
jaskara ikax nenke wishabo yoyo axon jakon akin ninkatai iti,así como en su comprensión de mensajes orales cada vez más complejos,educativo
"jan axeti jawekibo,",bloques lógicos,educativo
jato jaskáa ja ani rika nepókana iki nepóxon moa nebíti atipanyamakana iki ichayora yapa iketian,echaron la red y no tenían fuer zas para recogerla por la gran cantidad de peces,religioso
kedorlaómer itan jabé ikábora baneti boi en mispathain nokókana iki jaribira kades iki ja baneti bokinra amalekitabaon mainmea jatíbi nokoaibo jatoaresxon bibotankana iki hazezon tamar mainko jaa amorreo jonibora jaskáaribakana iki,luego se volvieron y llegaron hasta la fuente de misfat o sea cadés y arrasaron todo el país de los amalecitas y de los amorreos que vivían en asasontamar,religioso
jatian moa kikinhakin jawékiax potóxon ja trigobo moa jeneki potakana iki ja wapóro keyátani toxbanon ixon moa wapóro jikia,una vez satisfechos tiraron el trigo al mar para reducir el peso del barco,religioso
matonmein atiki pan yokákenbi makanres maton bake menikin,acaso alguno de ustedes daría a su hijo una piedra cuando le pide pan,religioso
jatianra leví jatíbi jawen jawékibo jenetaanan jesús betan kaa iki,leví se levantó lo dejó todo y empezó a seguirlo,religioso
nonra wishai jawen jane,escribimos su nombre,educativo
jato yoiwe shinankano:,diles que recuerden,educativo
yoiwe jato axetiainkoniax pikokanti,pídeles que salgan del aula,educativo
¿jaweboki axekana nato sesion ikainko?,¿qué aprendieron en esta sesión?,educativo
jatian bokanketian jabaon yokákana iki,y como nuevamente los fariseos preguntaran al hombre cómo había recobrado la vista él contestó,religioso
jaskáyamaira ja neskara non teneainkobo diossen tee akaibo ikax noa onantiai ja onitsapitibo teneanan ja jakonmaakana noa akinkantinbo keeni ja atikonmainkobo,al contrario de mil maneras demostramos ser auténticos ministros de dios que lo soportan todo las persecuciones las privaciones las angustias,religioso
jatian mato yokakaatai riki,y luego se preguntan,religioso
oinkanai jatixonbi jawerato jawekibomein iti iki jan jato shinan tsokasmaibo ixon,identifican los conflictos más frecuentes,educativo
ja paskua fiesta moa keyóketian jesussen anibo moa jaton jemanko boríbakana iki jatian jesúsbiribi jerusalénhain baneta iki ikaxbi jawen anibaon onanyamareskana iká iki,al terminar los días de la fiesta regresaron pero el niño jesús se quedó en jerusalén sin que sus padres lo supieran,religioso
miara ja diossen ikinaton jati netenko moa jikitires iki akin jatian jaskáa pekáo moa yokáribiti onsatankana iki tson bakemein iki kristo,no estás lejos del reino de dios y después de esto nadie más se atrevió a hacerle nuevas preguntas de quién es hijo el cristo,religioso
nonra shinanbo tsinkiai jaskatax noa jakoni raenanti kopi,elaboramos nuestras normas para una buena convivencia,educativo
jain boax misia ochóma nokókana iki jainxon ja bitinia main kati shinankana iki ikaxbi ja jesussen shinanman jato kamayamaa iki,estando cerca de misia intentaron dirigirse a bitinia pero no se lo consintió el espíritu de jesús,religioso
mato non ibo jesús ikonhaax jaki koshii jeneyamai itan jatíbi joi akaibo maton noia ninkaxonra,he sabido cómo ustedes viven la fe según cristo jesús y el amor para con todos los santos,religioso
jaya teeti wetsa axetiainkoniaribi,materiales de distintos sectores del aula,educativo
maton ea yokatai jawékira maton onanyamake ja moka jawéki en xeairibiki maton xeati atipana iamax ea bautizameetai keskatiribiki mato iti iki akin,ustedes no saben lo que piden pueden beber la copa que yo estoy bebiendo o ser bautizados como yo soy bautizado,religioso
ja kreta nasinra jaa iki westíora profeta akin akanai jara jawen kaibobobi yoii neskata iki,fue precisamente uno de su raza a quien ellos tienen por profeta el que dijo,religioso
¿maton oinaki ika atibires joyonti ribojobo taxnabo iamax tii ati jawekibo?,¿les pareció fácil ordenar las figuras o los objetos?,educativo
jaskata pekáo set japaria iki posaka pacha kanchis baritiapari jainoax wetsa jawen benbo bakebo itan ainbo bakebo jaríbaa iki,después que nació enós set vivió aún ochocientos siete años y tuvo otros hijos e hijas,religioso
"ja taxnantibo ,kirikabo itan gomabaonra iti jane okeamaa moa wetsarebiri jan taxnantibo iamax cinta masking tapebo",etiquetas o papel y goma que reemplacen a las etiquetas o cinta masking tape,educativo
jara mia jabébiribi iká iki jaskákinra wetsabo betan ikin yosmaatima min yoia iki,ella ha sido tu compañera y con esta mujer te habías comprometido,religioso
jatian jabo bain bokanaitian westíora jonin jesús neskaa iki,mientras iban de camino alguien le dijo,religioso
jato jaskáaketian yokákana iki,le preguntaron pero,religioso
jaskákenbi ea neskáakin yoia iki,oí también una voz que me decía,religioso
nato wishabora kikin ikon jaskatikaya jan teeti kati iki nato benbo bakebora itan ainbo bakebora onankanke ja yoiyaibo jaskaratonra aki kai wetsa joibo yoyo imakin,estas palabras son modelos seguros porque los niños y las niñas saben qué dice y eso los ayuda a escribir otras palabras,educativo
jainxon tsama yoyo ati kirikabo akanke jane menikin,colocaron el nombre al grupo de libros,educativo
minra aki kai nokokin westiora unida didactica jaskaaxon yoyo ati onanti,encontrarás una unidad didáctica de comunicación,educativo
ja herodías kopíra iká iki herodesnin juan jato yatamaxon itan kadenanin nexamayonxon kárkel meran jato amaa ja herodesninra jawen wetsa felipen awin herodías awinhaka iká iki,en efecto herodes había mandado apresar a juan y lo había encadenado en la cárcel por el asunto de herodías mujer de su hermano filipo con la que se había casado,religioso
moara yantan iki nenora jawebi yamake,estamos en un lugar despoblado y ya se ha hecho tarde,religioso
ja retexon keyokin menoti karneroki jawerano iki,dónde está el cordero para el sacrificio,religioso
jaskaaxonra maton oinai jaton shinanbo atipana kaman itinainko,así podrás observar sus niveles de coherencia al redactar ideas,educativo
noa winokana jawekibo non yoiyai,nuestra historia de grupo a través de anécdotas,educativo
¿jawetianki moa noa jan teeti atipana?,¿cuándo lo podemos usar?,educativo
jaskara kopi,para ello,educativo
netékainxonra en ninkatai itan jato koirannai sontáro jawen itinko iká keskára ea iti iki jaweki ibon ea yoiai ixonra en ninkáti iki jakonma shinanni joikin en yoiaki jawe ea yoiai ixonra en ninkáti iki,me ubicaré en mi torre de vigía y me pondré de pie sobre mi almena para ver si diviso su respuesta lo que él va a contestar a mi pregunta,religioso
jaskáxon nai bochiki ointaanan koshinshaman joinxon ja joni yoia iki efatá akin,en seguida levantó los ojos al cielo suspiró y dijo effetá que quiere decir ábrete,religioso
kaitianra icha jonin chibana iki jatianra jain ixon jatíbi isinaibo jato benxoaa iki,también allí mucha gente vino a él y los sanó,religioso
yoikanti jawekeskaaxonki nato tsamabo akana,que mencione cómo formaron las colecciones,educativo
tsinkiti 02,sesión 02,educativo
"irati jake baritia peoamabi mesko shinanbo non aka jaskatax noa jakoni raenanti kopi wetsabo mewemares non jakomaatima kopi,",es fundamental comenzar el año estableciendo algunas pautas para el respeto de los derechos de todos y todas,educativo
ramara chibanreskanai wishati axei itan jaton jane yoyo aki,hoy seguirán aprendiendo a escribir y leer su nombre,educativo
jaton jane ja kirika,su nombre en el portafolio,educativo
nato netemea jawékinin raroaibo jaskáyamai keskati nato netemea non oinnai jawékibo moa basima keyoti kaai kopí,y los que gozan la vida presente como si no la gozaran piensen que todo lo actual está pasando,religioso
