source,target,dataset
pawaskiwa kpinrewkleru,"pawaskiwa, el curandero",historias
tye ginkaklusha yimakwu kshana gimnu gashkale pinitikolu. pawaskiwa chinanu rumatka gimnu gashkale pinre. kshankakayma pinitkona yayixachine.,este cuento nos enseña el uso de la medicina vegetal a través del personaje pawaskiwa para que éste a su vez enseñe a los yine la medicina vegetal para curar las picaduras de las serpientes venenosas.,historias
"muchikawni, gi rumatkapa gimnu gashkale pinre. pejnurunniko gimnu gashkatachinni gipnajetana.","antiguamente, no se conocía el remedio contra las mordeduras de las víboras venenosas. todos los que sufrían mordeduras morían irremediablemente.",historias
pokgi kachichi,la hormiga kachichi,historias
"maleshlu kamrurchi gwashatachri, kamrurewaklerune wixinripa seyni wmuchkwa piranatanu ga wa wapatjekakanu saturutupure.","no hay medicina mágica para ser trabajadores, sino simplemente hay que esforzarse y mantenerse unidos.",historias
"kamrugimatluna tsru sana, ga wa kamrugimatkoxluna gatnugapkaka wa rumkata rusanatna yaletyapna. ga wa gixo niilkaluru waneygimnina. wa kachichi kgimatkalerunxko-gimnitkani giwa rumkata gapkapkotnina.","también existían personas envidiosas que querían igualar a los kachichi, comenzaron a trabajar y trabajar pero no lo hacían unidos. entonces se desanimaron y fueron donde los kachichi diciendo:",historias
"―nanurune, gixgetko pagixanu waneygi kigle kamrure gixinri, genekanunwu ptsotsotaaji.",los kachichi respondieron:,historias
kachichine gigita:,"―no hay, cuñados.",historias
"―gike waneywu, chingimatna.","entonces, los hombres odiaron a los kachichi. en seguida acudieron a dios diciendo:",historias
"giyaagimni rumtuwnana kanxalerune kachichinni rayegixatkana. wane pnute goyakalu yegi yatkana kegemginripna, wane china:","―dios, los kachichi son mezquinos, te pedimos que los conviertas en algo diferente.",historias
"―goyakalu, kachichine gipa chipenanuktana, pkashrijeganmakna.",mientras los kachichi estaban trabajando felices como siempre. dios fue a visitarlos y los convirtió en hormigas.,historias
wu koxla,de acuerdo,historias
rupnana kshoterni,murió el venado,historias
tkanashkata knoya,ganó la tortuga.,historias
chkotu ga wa mgenoklu ginkakle,el mono machín y el tigre,historias
"yimakwu, kanshinikanune wixinripa klukokta giknoginipwu giyampotuko wyanshinkanutanru kigleru shinkanchi. makge wa chkotu mgenokluni yokwita gi rumkata niklelewatana.","nos enseña, a hacer uso de nuestra astucia en determinados momentos. así como el mono engañó al tigre, quien murió tontamente y no lo pudo comer.",historias
"muchikawgimni wane gimnitkalu satu chkotni machi, giwakatletachrini kapnokaklergimnitkani gosha gajero. pakayno gima salwanatnitka gosha mxigi. wane gima mgenokluyma retkakyanitka.","cierto día un mono llamado machín, considerado el más travieso, gracioso y astuto del bosque; tuvo un incidente inesperado. una tarde que paseaba y se balanceaba por las ramas de los altos árboles de la selva, se encontró con el tigre.",historias
mgenoklu gima wane chinru:,el tigre al verlo le dijo:,historias
"– ¡chkotu, gi puwjekana gi rixanu xani potuko nnikanunyi!","– ¡oye, mono travieso, no te muevas porque te quiero comer!",historias
"ruglajgimatana chkotni, piklepoogima wane china:","al escuchar estas palabras el mono quedó estupefacto y muy nervioso, no sabía qué hacer. pero reaccionó y dijo al tigre:",historias
– ¡gi pixanata gewi kompa! ¿goyechnokawawani ga wa pkawgutatkano? ga wa paluka nikletyawakno chingimata chkotu.,– ¡hola compadre tigre! ¿tan temprano y ya me estás amenazando?,historias
giyagni mgenoklu wane china:,el tigre le dijo:,historias
"– ¡pochkepyi, xaniko nnikanunyi!","– ¡cállate, porque ahora mismo te como!",historias
chingimata mgenoklu. wu koxla chingimatatka chkotu:,"entonces el mono le hizo una propuesta, solamente para burlarse del tigre y poder salvarse, le dijo:",historias
– seyni muchinangapka wyenewatanu.,"– si quieres comerme, primero haremos una competencia.",historias
¡gi puwjekanu!,¡no te muevas!,historias
rupnana mgenokluni,murió el tigre,historias
walo reta wiwi.,mi hermanito ve al conejo.,relatos
gita runkaka.,me dice a mí.,relatos
walo wetapa.,vamos a ver al conejo.,relatos
¿gi ge walo peta?,¿no ves al conejo?,relatos
gike. gi walo neta.,no. no veo al conejo.,relatos
gi wetawana kinane.,no hemos visto todavía a los conejos.,relatos
¿gi ge walone wetapa?,¿no vamos a ver a los conejos?,relatos
gi wetawana walone.,no vemos todavía a los conejos.,relatos
gi wetawana gopone.,no vemos todavía a los atataos.,relatos
rapga yawo netya.,cerca del río vimos a un pelejo.,relatos
yotlo rapga netya.,vi a un cangrejo cerca del río.,relatos
yotlo rapga-ya.,el cangrejo va al río.,relatos
wane walo netya.,allí vi al conejo.,relatos
ga wa wane putu netya.,vi también a la luciérnaga allí.,relatos
gi wane walone netya.,no vi a los conejos allí.,relatos
neta netlu,veo lo veo,relatos
neta netlu,vi lo vi,relatos
netlu kina.,veo al coto.,relatos
¿gi ge yotlo peta?,¿no ves al cangrejo?,relatos
gike. netlu wagaga.,no. veo al guapo.,relatos
walo yatnaka.,el conejo ya se mueve otra vez.,relatos
wane walone netya.,vimos a los conejos allí.,relatos
gi wetawana walone.,no vimos a los conejos todavía.,relatos
rapga yotlo netya.,vi al cangrejo cerca del río.,relatos
rapga katagiri netya.,vi a la estrella en el río.,relatos
netlu krapru.,vi al shimbillo.,relatos
netlu wagaga.,vi al guapo.,relatos
¿gi ge yotlo peta?,¿no has visto al cangrejo?,relatos
gigi. netlo yotlo.,sí. he visto al cangrejo.,relatos
¿gi ge ponro peta?,¿no has visto al ciempiés?,relatos
gike. gi netlo ponro.,no. no he visto al ciempiés.,relatos
ga wa netlo walo.,pero vi al conejo.,relatos
"netatkalu wiwi ga wa netatkalu wagaga,","ya veo a mi hermanito, y veo al guapo.",relatos
netlu kina. netlo walo.,"veo al coto. veo al conejo,",relatos
ga wa yotlo netatnaka.,y también veo al cangrejo.,relatos
netlo ponro.,veo al ciempiés.,relatos
netlo putu.,veo a la luciérnaga.,relatos
netlu krapru.,veo al shimbillo.,relatos
netatkalu krapru.,ya he visto al shimbillo.,relatos
¿gi ge wunkakyi?,¿no te hemos dicho?,relatos
runkakwu yeye.,mi hermano nos dijo.,relatos
netatkalo nato.,ya la veo a mi tía.,relatos
yeye netatnaka.,"lo veo a mi hermano mayor, otra vez.",relatos
netatkalo walo.,ya veo al conejo.,relatos
netlu rapga. netlo yotlo.,veo el río. veo al cangrejo.,relatos
wane yotlo netya.,allí veo al cangrejo.,relatos
walone piklewata.,los conejos tienen miedo.,relatos
putu piklewata.,la luciérnaga tiene miedo.,relatos
wagaga piklewata.,el guapo tiene miedo.,relatos
netatkalu wagaga.,ya veo al guapo.,relatos
neta kalo yawo.,ya veo al pelejo.,relatos
yawo piklewata.,el pelejo tiene miedo.,relatos
ponro yatnaka.,el ciempiés se mueve otra vez.,relatos
"nyonakini tunkakno yeye, wa yawo teta.","cuando yo estaba cultivando, mi hermana me dijo que había visto al pelejo.",relatos
kpinrewakleru pinitno.,el médico me cura.,relatos
netatkalu kpinrewakleru.,ya veo al médico.,relatos
wiwi pinita ga wa yeye.,él cura a mi hermanito y a mi hermana.,relatos
gi piklewata wiwi.,mi hermanito no tiene miedo.,relatos
netatkalo yeye.,ya la veo a mi hermana.,relatos
mama pinita wa kpinrewakleru.,el médico cura a mi mamá.,relatos
mama gi piklewata.,mi mamá no tiene miedo.,relatos
netatkalo mama ga wa netatkalu papa.,ya veo a mi mamá y a mi papá.,relatos
tunkakno mama wa kpinrewakleru wane.,mi mamá me dice que el médico está allí.,relatos
runkakwu kpinrewakleru wa mama pinita.,el médico nos dice que cura a nuestra mamá.,relatos
tapoka kamla.,los comejenes han llegado.,relatos
kamla tpinita mama.,mi mamá echa veneno a los comejenes.,relatos
gi wa kamla pinita wa kpinrewakleru.,el médico no cura a los comejenes.,relatos
kamla piklewata.,el comején tiene miedo.,relatos
¿gi ge metkatni kamla?,¿no es ciego el comején?,relatos
gigi. metkatni kamla.,sí. el comején es ciego.,relatos
"mama, ¿gi ge metkatni kpinrewakleru?","mamá, ¿no es ciego el médico?",relatos
"gike, wiwi. gi metkatni.","no, hijito. él no es ciego.",relatos
gi metkatni walo.,el conejo no es ciego.,relatos
tunkakno mama.,mi mamá me dijo.,relatos
metkatni wa kamla.,el comején es ciego.,relatos
"netyi, ponro. netyi.","te veo, ciempiés. te veo.",relatos
¿gi ge metkatni ponro?,¿no es ciego el ciempiés?,relatos
netmaklu kpinrewakleru.,quisiera ver al médico.,relatos
runkakwu wa metkatni kamla.,él nos dijo que el comején es ciego.,relatos
netmaklu papa.,quisiera ver a mi papá.,relatos
mama runkaka.,él le dijo a mi mamá.,relatos
netamtlo kamla.,vi al comején.,relatos
netmaklu kina. wane-ya.,quisiera ver al coto. fue allí.,relatos
netamtlo walo.,vi al conejo.,relatos
netamtlo yotlo.,vi al ciempiés.,relatos
netamtlo yawo.,vi al pelejo.,relatos
wane yawo yatnaka.,el pelejo fue allí otra vez.,relatos
netmaklu krapru.,quisiera ver el shimbillo.,relatos
"wane walone netya,","vi a los conejos allí,",relatos
"ga wa netatkalu kina,","y vi al coto,",relatos
ga wa netatkalo yawo.,y vi al pelejo.,relatos
netmaklu chichi.,quisiera ver la leña.,relatos
kamla chichi-ya.,el comején fue en la leña.,relatos
netamtlo kamla.,vi el comején andando.,relatos
chichi napata gita.,yo estaba recogiendo leña.,relatos
getachine gapata.,los testigos se juntan.,relatos
getachine wane-ya.,los testigos van allí.,relatos
chichi tapata mama.,mi mamá está recogiendo leña.,relatos
netamtlo mama.,vi a mi mamá.,relatos
wunakna getachine.,les avisamos a los testigos.,relatos
